2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
35,31,31,23,30,28,10,7,14,13,10,8
2,3,4,2,2,3,1,0,0,0,0,0
4,0,2,3,1,2,1,0,0,1,4,0
3,1,3,4,0,3,0,0,0,0,1,1
2,2,1,2,0,3,0,0,0,0,3,0
4,0,1,4,1,1,0,0,1,0,1,1
4,3,2,0,2,1,1,0,0,0,0,0
47,38,32,31,24,35,7,4,9,9,12,6
1,3,0,1,0,1,0,0,0,2,1,1
41,26,31,38,34,35,5,9,9,10,8,8
3,0,2,0,4,2,1,0,0,0,0,1
1,3,0,4,0,2,0,1,2,0,1,1
1,1,2,5,2,0,0,0,0,0,1,2
36,30,36,29,32,32,6,9,8,10,8,5
3,0,4,2,3,1,1,0,2,0,3,1
0,3,2,3,4,2,0,0,0,0,1,0
2,0,0,1,5,1,1,1,2,0,0,0
1,0,0,3,2,0,0,0,0,0,1,0
1,1,3,3,2,0,1,1,2,0,0,1
1,6,2,1,1,3,1,0,1,1,1,0
36,33,35,32,31,31,5,2,6,6,4,8
3,3,0,2,3,3,0,0,0,0,1,0
3,1,3,1,2,2,0,0,0,0,1,0
2,2,4,1,2,1,1,0,1,0,0,0
3,0,3,3,1,3,0,1,1,2,1,1
1,2,3,1,1,3,0,1,0,0,1,2
3,0,2,4,4,4,1,0,0,0,0,2
2,2,1,2,0,2,2,0,0,0,1,0
3,2,1,0,3,1,1,0,0,0,2,0
3,2,5,6,3,2,1,1,0,0,0,0
1,4,2,1,3,4,0,2,0,0,1,1
2,3,2,1,5,2,1,0,0,0,0,1
2,0,3,0,2,1,0,1,0,0,1,0
3,1,0,5,2,1,0,0,0,2,0,2
2,1,1,6,0,4,2,1,0,0,0,0
3,0,6,0,5,0,0,0,0,1,0,2
26,27,28,39,27,30,13,7,9,7,8,8
1,4,0,5,6,3,1,0,0,0,1,1
4,2,1,0,1,3,0,2,1,1,0,1
1,2,2,1,2,1,2,1,1,0,1,0
4,1,0,3,2,3,0,0,0,1,0,0
4,2,4,1,1,1,1,1,0,2,0,1
3,2,1,1,5,2,0,1,0,1,1,0
31,28,31,29,33,41,9,7,15,7,10,9
1,4,4,2,0,4,0,1,0,0,0,1
4,2,0,1,2,2,1,0,1,0,0,1
0,2,2,4,2,3,3,0,0,0,1,0
6,1,4,1,2,2,1,3,0,0,0,1
50,25,32,37,33,30,10,7,5,7,10,10
1,3,1,2,0,2,1,2,2,1,0,1
3,4,3,2,2,2,0,0,0,0,1,0
29,25,26,33,22,27,11,5,8,7,14,3
3,2,5,3,4,3,0,0,0,0,0,0
0,2,1,1,3,5,2,0,0,1,0,5
3,0,2,2,3,2,1,0,1,0,0,1
1,2,3,2,0,1,0,0,1,0,0,0
1,1,1,5,3,2,0,0,0,1,1,0
2,3,1,3,2,3,1,0,0,0,0,2
5,2,4,1,2,1,2,0,2,0,0,1
1,3,5,1,5,3,0,0,0,0,2,2
2,5,4,3,1,2,1,0,0,0,1,0
2,0,3,2,4,1,1,1,0,1,1,1
2,2,2,0,4,1,0,0,0,0,0,0
3,4,2,1,2,1,1,1,1,2,1,0
2,1,3,5,0,3,1,0,1,1,0,0
3,1,1,3,3,4,0,0,0,2,2,0
5,2,3,2,4,1,0,1,0,0,0,0
2,1,1,2,2,1,0,0,0,2,0,2
1,1,0,3,2,0,0,1,0,0,0,1
4,5,3,2,2,3,0,1,0,1,0,0
4,1,3,2,5,2,0,0,0,0,1,2
0,1,1,3,2,7,2,0,0,0,0,1
0,4,5,7,2,1,0,0,0,1,2,1
4,0,3,6,1,0,0,0,1,2,3,0
0,2,5,0,2,1,2,0,1,0,0,0
4,0,2,1,2,2,0,1,0,1,0,2
2,1,1,1,2,1,1,0,0,0,1,1
2,2,1,6,2,1,0,0,0,0,0,0
1,2,1,1,2,1,0,0,0,1,1,2
1,0,4,1,0,1,1,0,0,0,0,0
38,28,33,40,15,34,11,8,5,8,17,10
4,1,0,6,0,3,1,0,0,0,1,0
2,2,3,3,4,3,1,2,1,1,0,1
5,2,3,2,4,1,0,1,1,0,1,2
2,1,3,0,4,2,1,0,1,0,0,0
3,4,3,5,1,0,2,1,0,0,0,0
4,1,3,0,6,2,0,2,1,1,0,3
2,0,2,2,2,1,0,0,2,0,1,0
2,1,0,2,4,6,0,1,0,1,0,0
2,4,2,1,0,3,1,0,0,3,1,1
4,2,1,1,3,2,1,0,0,0,0,0
2,2,1,3,0,0,0,1,2,0,1,1
4,3,1,3,3,3,0,0,0,0,1,2
3,3,3,1,3,3,0,3,0,0,1,1
2,0,1,3,2,2,0,0,1,0,1,0
1,2,1,2,2,2,0,0,0,0,0,0
6,4,0,2,2,0,0,0,0,1,0,1
3,0,3,4,4,4,1,0,1,2,0,0
2,1,0,3,1,2,1,0,1,1,0,0
3,4,2,1,1,1,0,1,1,1,1,1
0,1,2,0,1,2,0,1,1,1,1,0
2,4,0,2,2,4,0,1,2,1,2,0
1,1,1,0,2,5,1,1,1,0,1,0
1,3,2,2,2,3,0,0,0,0,0,0
1,1,3,2,1,2,0,0,1,0,2,0
4,2,2,5,4,2,0,0,1,1,1,0
1,2,1,4,1,5,0,1,2,2,1,0
3,2,0,4,4,2,2,2,0,1,1,0
1,3,1,0,2,0,0,1,0,1,1,0
4,4,3,0,2,2,2,2,0,0,0,1
4,5,1,2,2,1,0,0,3,0,0,2
0,2,1,3,1,1,0,1,0,0,0,0
1,1,5,1,2,2,0,0,0,1,1,1
3,2,3,4,6,0,2,0,1,0,1,2
0,2,0,0,1,1,0,1,1,2,1,0
3,1,3,1,3,2,1,0,0,2,1,1
1,4,0,1,2,1,0,0,1,1,0,1
3,1,1,1,2,3,0,0,2,1,1,0
3,3,1,3,5,2,0,0,0,1,2,0
1,2,3,3,4,3,0,1,1,0,0,0
8,1,6,3,2,1,1,1,0,1,0,0
32,36,32,31,38,31,8,6,8,13,10,8
2,3,1,1,2,5,0,0,1,0,2,0
1,6,1,0,1,2,0,1,0,0,1,1
3,1,2,1,5,1,1,0,0,0,1,2
1,2,5,0,6,1,0,0,1,1,0,1
5,0,0,3,3,1,0,0,0,0,2,0
1,4,1,4,1,3,0,0,1,0,1,1
1,1,3,1,1,4,0,3,0,1,0,1
2,0,2,1,2,0,1,0,0,1,1,1
0,1,3,4,3,0,0,0,0,0,0,0
0,1,1,2,2,2,0,1,0,0,2,1
5,1,2,0,5,2,1,0,1,0,0,0
3,1,1,2,2,3,0,0,1,0,0,1
3,3,3,3,4,1,1,0,0,2,0,1
5,3,3,1,4,4,1,2,1,1,1,0
2,1,3,1,1,4,0,0,0,1,1,2
3,3,0,1,2,3,0,0,0,0,1,0
2,5,1,4,5,2,2,0,0,0,1,0
3,2,4,1,1,3,3,0,3,0,2,1
0,1,4,3,2,1,0,0,1,1,0,1
1,1,4,1,0,6,1,0,0,1,2,1
1,4,2,1,0,4,1,1,0,0,0,2
5,2,0,4,5,3,0,0,1,0,0,1
6,1,2,1,0,2,0,1,1,0,1,0
0,0,3,2,1,5,0,0,1,0,1,0
3,1,2,0,0,1,0,1,1,0,0,0
5,8,1,1,1,3,0,1,0,1,1,1
4,2,4,1,1,2,1,0,0,0,0,2
4,1,1,2,0,2,0,0,1,2,0,0
2,4,1,5,3,3,0,2,0,0,0,1
2,3,5,5,1,5,3,0,0,1,1,2
3,0,1,1,3,1,1,1,1,0,1,0
3,2,4,1,3,4,0,1,1,1,0,0
