s/n,Rand 1,Rand 2,Date,Item,House Collection/ Self Pickup,Organisation,Bin Location
1,0.881037741,0.62890979,20/02/2022,Greeting Card,House Collection,NA,JALAN NAGA SARI
2,0.644353511,0.926797627,24/02/2022,Printed Paper,House Collection,NA,TENGAH GARDEN AVENUE
3,0.007458118,0.42373584,21/03/2022,Aerosol Can,House Collection,PWC-Sembwaste,NA
4,0.979344754,0.550300394,14/02/2022,CD,House Collection,NA,JALAN PENJARA
5,0.314691381,0.166608968,07/05/2022,Paint Container,House Collection,Ezi,NA
6,0.659819691,0.918006097,11/04/2022,Metal Drink Can,House Collection,NA,ALMOND AVENUE
7,0.444804009,0.832436938,11/01/2022,Biscuit Tin,House Collection,NA,BISHAN STREET 12
8,0.879817894,0.004470477,02/02/2022,Calendar,House Collection,Greensquare,NA
9,0.381932217,0.230089155,17/02/2022,Beer Bottle,Self Disposal,Tidy,NA
10,0.795794051,0.591789017,02/05/2022,Wax Paper,Self Disposal,NA,ANGULLIA PARK
11,0.606951804,0.81608885,11/01/2022,Pens,House Collection,NA,TAI YUAN HEIGHTS
12,0.425777961,0.915850719,11/03/2022,Biscuit Tin,House Collection,NA,LOMPANG ROAD
13,0.205899672,0.177827805,17/06/2022,Glass Cosmetic Bottle,House Collection,Ezi,NA
14,0.4632777,0.308727624,16/04/2022,Canned Food Can,Self Disposal,Alba,NA
15,0.058136765,0.372137481,28/05/2022,Bodywash Bottle,House Collection,PWC-Alba-WH,NA
16,0.669297899,0.384172366,07/01/2022,Shorts,House Collection,PWC-Alba-WH,NA
17,0.533208038,0.64605304,25/05/2022,Switches,House Collection,NA,LORONG 1 TOA PAYOH
18,0.874981434,0.009176437,15/06/2022,Tissue Paper,House Collection,Greensquare,NA
19,0.351935862,0.958177402,06/01/2022,Shampoo Bottle,Self Disposal,NA,JALAN LEGUNDI
20,0.479116309,0.501642152,01/03/2022,Canned Food Can,Self Disposal,NA,MARINA EAST DRIVE
21,0.338207799,0.182566708,11/03/2022,Shampoo Bottle,House Collection,Gee Hoe Seng Pte Ltd,NA
22,0.729805117,0.87341427,10/02/2022,Chairs,Self Disposal,NA,MERANTI AVENUE
23,0.119291939,0.182603836,08/06/2022,Detergent Bottle,House Collection,Gee Hoe Seng Pte Ltd,NA
24,0.380983353,0.936179661,26/06/2022,Beer Bottle,House Collection,NA,WOODLANDS AVENUE 1
25,0.457965701,0.290620364,18/01/2022,Canned Food Can,Self Disposal,Alba,NA
26,0.01696148,0.060336632,29/05/2022,Aerosol Can,House Collection,Passiton.org,NA
27,0.436859187,0.473255464,03/02/2022,Biscuit Tin,Self Disposal,PWC-800 Super,NA
28,0.344017126,0.020028177,29/03/2022,Shampoo Bottle,House Collection,Greensquare,NA
29,0.361273686,0.506712671,02/03/2022,Shampoo Bottle,House Collection,NA,PARK CRESCENT
30,0.236777809,0.682642825,03/05/2022,Glass Medicine Bottle,House Collection,NA,LORONG 22 GEYLANG
31,0.535228967,0.878332053,17/02/2022,Cassette Tape,Self Disposal,NA,SHIPYARD CRESCENT
32,0.58371855,0.627043759,10/01/2022,Paper Envelope,House Collection,NA,SWISS VIEW
33,0.23596824,0.398146608,23/01/2022,Glass Medicine Bottle,House Collection,PWC-Alba-WH,NA
34,0.523304433,0.450757457,10/02/2022,Magazine,House Collection,PWC-Sembwaste,NA
35,0.242361974,0.73032625,07/05/2022,Glass Medicine Bottle,House Collection,NA,BEDOK SOUTH AVENUE 2
